participant,variant,text,accuracy,disfl,no,stimuli
Urzhan_Participant 1,1,1,0.66,0.56,1,yes
Urzhan_Participant 1,1,2,0.62,0.4,0.75,yes
Urzhan_Participant 1,1,3,1,,,no
Urzhan_Participant 1,1,4,0.9,,,no
Urzhan_Participant 2,2,1,0.66,,,no
Urzhan_Participant 2,2,2,0.38,,,no
Urzhan_Participant 2,2,3,0.7,0.8,0.6,yes
Urzhan_Participant 2,2,4,0.9,1,0.8,yes
Urzhan_Participant 3,1,1,0.42,0.55,0,yes
Urzhan_Participant 3,1,2,0.54,0.4,0.62,yes
Urzhan_Participant 3,1,3,0.5,,,no
Urzhan_Participant 3,1,4,0.5,,,no
Urzhan_Participant 4,1,1,0.58,0.66,0.33,yes
Urzhan_Participant 4,1,2,0.69,0.4,0.87,yes
Urzhan_Participant 4,1,3,0.7,,,no
Urzhan_Participant 4,1,4,0.8,,,no
Urzhan_Participant 5,1,1,0.58,0.55,0.66,yes
Urzhan_Participant 5,1,2,0.46,0.4,0.5,yes
Urzhan_Participant 5,1,3,0.7,,,no
Urzhan_Participant 5,1,4,0.6,,,no
Urzhan_Participant 6,2,1,0.25,,,no
Urzhan_Participant 6,2,2,0.92,,,no
Urzhan_Participant 6,2,3,0.9,1,0.8,yes
Urzhan_Participant 6,2,4,0.9,0.8,1,yes
Aizhan - Participant 1,1,1,0.25,0.2,0.5,yes
Aizhan - Participant 1,1,2,0.69,0.5,0.8,yes
Aizhan - Participant 1,1,3,0.5,,,no
Aizhan - Participant 1,1,4,0.8,,,no
Aizhan - Participant 2,1,1,0.3,0.3,0.3,yes
Aizhan - Participant 2,1,2,0.9,0.9,0.9,yes
Aizhan - Participant 2,1,3,0.6,,,no
Aizhan - Participant 2,1,4,0.8,,,no
Aizhan - Participant 3,1,1,0.2,0.3,0,yes
Aizhan - Participant 3,1,2,0.6,0.3,0.75,yes
Aizhan - Participant 3,1,3,0.3,,,no
Aizhan - Participant 3,1,4,0.45,,,no
Aizhan - Participant 4,1,1,0.4,0.4,0.2,yes
Aizhan - Participant 4,1,2,0.9,0.9,0.9,yes
Aizhan - Participant 4,1,3,1,,,no
Aizhan - Participant 4,1,4,0.9,,,no
Aizhan - Participant 5,1,1,0.8,0.05,0.2,yes
Aizhan - Participant 5,1,2,0.6,0.4,0.75,yes
Aizhan - Participant 5,1,3,0.75,,,no
Aizhan - Participant 5,1,4,0.6,,,no
Aizhan - Participant 6,2,1,0.125,,,no
Aizhan - Participant 6,2,2,0.6,,,no
Aizhan - Participant 6,2,3,0.55,0.9,0.2,yes
Aizhan - Participant 6,2,4,0.8,0.9,0.7,yes
Aizhan - participant 7,2,1,0.5,,,no
Aizhan - participant 7,2,2,0.7,,,no
Aizhan - participant 7,2,3,0.6,0.8,0.4,yes
Aizhan - participant 7,2,4,0.3,0.3,0.3,yes
Aizhan - participant 8,2,1,0.25,,,no
Aizhan - participant 8,2,2,0.4,,,no
Aizhan - participant 8,2,3,0.45,0.5,0.4,yes
